"id_order","sku"
299962,"PAC0127"
299968,"ADN0013"
299973,"LIF0091"
299981,"MBI0004"
299983,"LGE0028"
299984,"APP0921"
299991,"LOG0078"
300002,"CRU0016-2"
300007,"TWS0043"
300008,"WDT0221"
300012,"MOP0074"
300021,"LOG0185"
300028,"PAR0047"
300033,"IFX0039"
300033,"TRK0003"
300035,"APP1635"
300036,"JBL0091"
300040,"WDT0135"
300040,"SYN0122"
300046,"APP0476"
300051,"HTE0004"
300054,"PAC1867"
300055,"PAC1498"
300055,"IFX0144"
300055,"OWC0040-2"
300055,"NTE0038"
300060,"HTE0004"
300077,"JBL0101"
300080,"SNA0061"
300085,"OWC0085-4"
300104,"PAC0677"
300109,"PHI0066"
300110,"LEX0022"
300123,"IFX0018"
300126,"LIF0106"
300129,"OWC0048"
300136,"APP0691"
300137,"SYN0180"
300137,"WDT0177"
300149,"WIT0025"
300152,"APP1639"
300152,"APP1641"
300158,"APP1205"
300158,"APP1669"
300168,"LOG0186"
300173,"SAT0015"
300173,"MOX0024"
300179,"OWC0037-2"
300179,"OWC0001"
300179,"SEA0096"
300179,"SAM0063"
300184,"TRA0030-A"
300185,"SAT0019"
300188,"KAN0021"
300188,"NTE0006"
300189,"PAC0017"
300192,"WOE0006"
300192,"WOE0005"
300192,"PHI0055"
300193,"WDT0135"
300199,"APP1772"
300203,"ELG0034"
300203,"ELG0032"
300207,"SAM0067"
300208,"PHI0055"
300213,"TIG0018"
300213,"HTE0002"
300218,"APP1459"
300223,"OTT0087"
300235,"WAC0166"
300241,"NOM0009"
300252,"SAN0127"
300253,"APP1261"
300254,"APP0017"
300257,"BEL0165"
300257,"TPL0032"
300258,"TRA0035"
300262,"LOG0211"
300263,"LEX0022"
300265,"APP1204"
300268,"APP0921"
300271,"GRT0420"
300273,"LGE0029"
300281,"APP0921"
300281,"MUV0145"
300281,"MOS0059"
300283,"SAT0028"
300283,"SAT0005"
300283,"SAT0037"
300283,"ELG0042"
300283,"PAC1394"
300290,"SPE0162"
300290,"MOX0009"
300304,"FCM0016-2"
300306,"APP1037"
300309,"OTT0130"
300309,"APP0692"
300309,"SAT0017"
300310,"WIT0024"
300310,"HTE0003"
300311,"TRA0004"
300311,"IFX0014"
300314,"PAC0617"
300314,"OWC0181-2"
300315,"APP0921"
300315,"TPL0032"
300317,"TRA0004"
300319,"WIT0023"
300320,"IFX0029"
300323,"OWC0183"
300325,"TPL0034"
300326,"LIF0099"
300326,"LIF0070"
300326,"LIF0072"
300327,"OWC0169"
300329,"SAN0127"
300331,"MOS0204"
300331,"BEL0292"
300333,"WDT0309"
300336,"LOG0188"
300339,"APP1772"
300346,"TRA0004"
300347,"SAN0129"
300354,"BEL0257"
300362,"PEB0009"
300364,"SAN0127"
300365,"SAT0007"
300368,"IFX0013"
300368,"MOX0012"
300368,"GRT0421"
300369,"PAC0692"
300371,"BOO0063"
300375,"PIE0022"
300379,"TPL0011"
300380,"LOG0169"
300385,"SAN0128"
300385,"SAN0127"
300387,"APP1744"
300389,"MOP0067"
300390,"APP0697"
300391,"PAC1729"
300391,"TOS0014"
300392,"SPE0163"
300399,"SAM0067"
300400,"LOG0185"
300403,"OTT0130"
300406,"LAC0194"
300411,"BEL0264"
300412,"WAC0160"
300413,"SAN0127"
300414,"LEX0027"
300418,"SAM0110-A"
300419,"APP1804"
300421,"OWC0036-2"
300421,"KAN0022"
300422,"TRK0004"
