"id_order","sku"
300412,"WAC0160"
300413,"SAN0127"
300414,"LEX0027"
300419,"APP1804"
300421,"OWC0036-2"
300430,"WOE0002"
300435,"APP1041"
300436,"ZAG0013"
300439,"APP0921"
300443,"HTE0004"
300444,"HTE0001"
300446,"OTT0153"
300446,"BEL0280"
300446,"MUV0162"
300452,"WAC0185"
300455,"SEA0038"
300456,"SAN0127"
300462,"SAT0027"
300463,"LOG0078"
300466,"FCM0020"
300467,"TRK0005"
300469,"APP1037"
300475,"OTT0126"
300476,"CRU0016-2"
300485,"SEA0043"
300495,"APP1208"
300495,"APP0691"
300495,"APP1459"
300498,"NTE0095"
300506,"SAN0155"
300506,"SAN0129"
300513,"ELG0033"
300528,"APP1679"
300531,"CRU0046"
300532,"ELG0033"
300532,"ELG0034"
300536,"PIE0022"
300540,"ZAG0013"
300541,"BOS0037"
300541,"WHO0002"
300544,"TRK0005"
300546,"WAC0165"
300547,"TPL0011"
300551,"RAI0001"
300553,"APP0017"
300554,"OWC0181-2"
300565,"CRU0026-2"
300566,"IFX0028"
300582,"SAT0048"
300582,"ZAG0016"
300582,"APP1565"
300582,"MAC0136"
300604,"TPL0026"
300613,"HTE0004"
300616,"JBL0113"
300626,"IFX0028"
300626,"APP0692"
300626,"IFX0087"
300627,"PAC0616"
300650,"OWC0094"
300657,"LGE0041"
300663,"WAC0048"
300665,"APP1646"
300671,"CRU0026-2"
300671,"SAM0067"
300675,"SYN0133"
300678,"SAN0092"
300682,"LOG0078"
300686,"APP1638"
300693,"SAT0036"
300699,"MOS0148"
300701,"SEA0096"
300704,"APP0893"
300711,"APP0017"
300713,"APP0431"
300713,"OTT0127"
300720,"ELG0042"
300720,"OTT0137"
300725,"CRU0016-2"
300728,"APP1215"
300731,"APP1204"
300736,"OTT0156"
300737,"NTE0007"
300737,"SAM0069"
300737,"WDT0357"
300738,"SAN0127"
300739,"LAC0149"
300744,"APP1134"
300746,"CRU0045"
300757,"TPL0026"
300760,"NTE0007"
300760,"OWC0094"
300761,"APP0403"
300764,"KEN0206"
300773,"TRK0005"
300775,"WAC0165"
300778,"APP1215"
300778,"IFX0028"
300786,"THU0013"
300789,"SPH0007"
300791,"LOG0078"
300796,"OWC0154"
300800,"TPL0026"
300808,"SAN0128"
300809,"SPH0007"
300812,"IFX0016"
300814,"WAC0165"
300819,"SAT0005"
300819,"SAT0004"
300826,"BEL0280"
300826,"MUV0166"
300830,"PEB0009"
300831,"CRU0017-2"
300835,"DLL0009"
300839,"TOS0016"
300846,"FCM0016-2"
300846,"SAM0067"
300851,"JBL0098"
300860,"LEX0021"
300861,"SAN0127"
300862,"CRU0043-2"
300867,"STM0088"
300873,"TRK0001"
300876,"WDT0169"
300877,"BEL0264"
300880,"ELG0033"
300881,"OTR0039"
300881,"SEA0096"
300882,"WAC0084"
300883,"BOS0044"
300896,"HTE0002"
300898,"TPL0011"
300903,"WAC0167"
300904,"SAM0067"
300906,"STA0027"
300916,"APP1014"
300918,"PEB0009"
300922,"IFX0028"
300938,"WDT0135"
300945,"DLK0002"
300948,"BEL0264"
300949,"JBL0101"
300960,"LOG0078"
300966,"NTE0058"
300979,"TRK0005"
300980,"LOG0169"
300986,"WAC0167"
300989,"SAT0007"
300989,"APP1210"
300998,"HTE0001"
300999,"OTR0039"
301012,"WDT0135"
301013,"CRU0026-2"
301015,"SPH0007"
301030,"IFX0028"
301058,"APP0697"
301059,"WDT0221"
301067,"PIE0022"
301074,"APP1215"
301079,"THU0019"
301080,"ADN0037"
301085,"SAN0093"
301091,"ZAG0016"
301092,"OWC0054-2"
301095,"BEL0264"
301097,"APP0431"
301097,"WAC0148"
301102,"CRU0025-2"
301105,"CRU0046"
301106,"HTE0004"
301106,"TRK0003"
301108,"PAR0065"
301111,"WAC0166"
301112,"KEU0001"
301121,"APP0921"
301140,"IFX0049"
301140,"OWC0007"
301145,"IFX0016"
301148,"THU0019"
301152,"LOG0169"
301155,"LOG0078"
301166,"BEL0264"
301169,"SAN0110"
301173,"APP1184"
301179,"KEN0160"
301181,"IFX0040"
301184,"ELG0032"
301193,"IFX0016"
301198,"TRA0010"
301198,"WDT0357"
301204,"APP1215"
301207,"HTE0002"
301208,"SAN0127"
301211,"PAC1234"
301214,"CRU0045"
301223,"CRU0046"
301226,"IFX0040"
301230,"SAT0027"
301230,"SAN0148"
301234,"WDT0177"
301239,"PHI0057"
301243,"IOT0018"
301247,"ELG0033"
301256,"SAN0128"
301270,"WDT0177"
301276,"ELG0033"
301276,"CRU0044"
301280,"CRU0043"
301292,"LOG0185"
301297,"BOS0037"
301300,"STA0010"
301306,"PAC1554"
301307,"IFX0014"
301309,"SAN0093"
301320,"OWC0040-2"
301321,"APP0921"
301322,"APP1184"
301325,"CRU0026-2"
301327,"APP0692"
301334,"HTE0001"
301335,"JAW0042"
301344,"NEA0003"
301344,"PHI0070"
301352,"WDT0135"
301359,"WAC0084"
301360,"WDT0135"
301367,"LMP0001"
301371,"JBL0116"
301374,"SAT0033"
301375,"SEA0100"
301376,"NTE0011"
301379,"LEX0033"
301396,"LGE0029"
301404,"WAC0163"
301405,"APP0017"
301406,"PAC1234"
301409,"SAN0127"
301412,"LGE0029"
301414,"PAC1367"
301420,"TOS0001"
301422,"FCM0003-2"
301430,"CRU0016-2"
301430,"OWC0007"
301433,"LOG0169"
301440,"BOS0037"
301451,"SAN0127"
301451,"SAN0128"
301452,"LEX0022"
301456,"SAN0093"
301457,"BEL0264"
301463,"SAT0004"
301467,"LEX0021"
301480,"CRU0015-2"
301490,"APP0921"
301491,"SEA0047"
301495,"TUC0271"
301496,"OTR0039"
301498,"BEL0175"
301499,"IFX0023"
301501,"PAC1542"
301504,"APP1184"
301512,"APP0692"
301513,"ELG0033"
301528,"PAC1394"
301531,"WDT0135"
301533,"TRK0005"
301537,"HTE0004"
301543,"PAC1234"
301544,"KIN0153-2"
301547,"WDT0357"
301550,"WAC0084"
301557,"SAM0067"
301559,"LOG0078"
301560,"IFX0016"
301562,"SAN0127"
301563,"MOX0009"
301566,"HTE0004"
301571,"WDT0135"
301576,"TUC0249"
301584,"APP0404"
301584,"KAN0046"
301587,"PIE0022"
301587,"MOX0008"
301587,"WOE0001"
301589,"TRA0006"
301597,"TRK0003"
301601,"TOS0001"
301607,"KAN0046"
301607,"APP0692"
301612,"LOG0078"
301619,"WOE0007"
301622,"STA0010"
301628,"SAM0068"
301628,"OWC0007"
301628,"MAC0116"
301634,"HTE0004"
301635,"MOX0013"
301636,"APP0017"
301646,"CRU0044"
301646,"MAC0116"
301651,"JBL0101"
301652,"BEL0262"
301654,"SAN0127"
301662,"BEL0286"
301669,"CRU0047"
301675,"IFX0016"
301678,"WAC0167"
301681,"OWC0040-2"
301685,"ELG0033"
301686,"LOG0185"
301689,"WAC0163"
301690,"CRU0026-2"
301695,"APP1184"
301707,"LEX0033"
301709,"TUC0271"
301711,"LAC0166"
301717,"WAC0163"
301719,"SAM0110"
301726,"CRU0016-2"
301728,"APP0921"
301733,"ZAG0023"
301734,"LOG0078"
301736,"WDT0221"
301738,"APP1014"
301744,"IFX0015"
301749,"WAC0173"
301750,"LOG0078"
301753,"LMP0001"
301756,"LAC0177"
301762,"JBL0117"
301767,"CRU0043-2"
301775,"LOG0169"
301789,"APP1914"
301789,"APP1041"
301796,"WAC0148"
301799,"WAC0163"
301806,"BEL0170"
301812,"WDT0135"
301813,"WDT0357"
301814,"LAC0193"
301830,"CRU0016-2"
301840,"APP0921"
301842,"HTE0002"
301857,"FCM0003-2"
301878,"LIF0090"
301890,"TPL0032"
301905,"KIN0153-2"
301919,"PAC0748"
301923,"TOS0016"
301925,"NTE0058"
301930,"WDT0169"
301932,"OWC0086-2"
301936,"DLL0022"
301944,"APP1640"
301945,"SAN0141"
301946,"ZAG0022"
301952,"SEA0096"
301967,"NTE0105"
301975,"OWC0094"
301975,"CRU0016-2"
301975,"SAM0068"
301977,"ADN0040"
302001,"SEA0100"
302002,"IFX0057"
302004,"WAC0166"
302009,"SEA0100"
302010,"CRU0043"
302015,"WAC0160"
302026,"APP1204"
302030,"TUC0273"
302032,"APP1639"
302037,"ZAG0023"
302042,"BEL0264"
302044,"TRA0004"
302054,"LGE0040"
302060,"APP1457"
302061,"APP0691"
302062,"JAW0042"
302066,"BLM0010"
302072,"WAC0163"
302073,"APP1656"
302085,"JBL0101"
302086,"DLK0002"
302088,"TRK0003"
302097,"APP1913"
302106,"PAC1555"
302114,"KEN0103"
302117,"BEL0219"
302119,"TPL0034"
302137,"IFX0040"
302147,"MUV0170"
302148,"PHI0066"
302159,"WOE0008"
302161,"ELG0033"
302161,"OWC0007"
302161,"LEX0031"
302171,"SAM0067"
302171,"OWC0046"
302176,"BEL0224"
302190,"LEX0022"
302195,"HTE0001"
302198,"MUV0162"
302198,"LOG0078"
302199,"IFX0039"
302210,"APP0696"
302210,"APP1208"
302210,"APP1459"
302230,"KIN0155"
302236,"IFX0016"
302245,"APP0921"
302251,"PAC1234"
302259,"TUC0245"
302266,"WDT0323"
302269,"PEB0009"
302289,"OWC0098"
302293,"OWC0094"
302300,"SAN0127"
302304,"KEN0206"
302305,"LOG0078"
302312,"WDT0366"
302331,"APP1639"
302331,"APP1638"
302342,"APP0691"
302343,"SAN0155"
302344,"SEA0100"
302347,"CRU0017"
302351,"NTE0040"
302355,"APP0393"
302364,"APP0094"
302366,"WAC0148"
302368,"APP1642"
