"id_order","brand_accesories"
300179,"Samsung - accessories"
300188,"Kanex - accessories"
300188,"NewerTech - accessories"
300189,"Pack - accessories"
300192,"Philips - accessories"
300193,"Western Digital - accessories"
300199,"Apple - accessories"
300203,"Elgato - accessories"
300203,"Elgato - accessories"
300207,"Samsung - accessories"
300208,"Philips - accessories"
300213,"Hyper Pearl - accessories"
300218,"Apple - accessories"
300235,"Wacom - tablet"
300252,"SanDisk - accessories"
300254,"Apple - accessories"
300257,"TP-Link - accessories"
300263,"Lexar - accessories"
300265,"Apple - other"
300268,"Apple - accessories"
300271,"Griffin - accessories"
300273,"LG - display"
300281,"Apple - accessories"
300283,"Satechi - accessories"
300283,"Satechi - accessories"
300283,"Satechi - accessories"
300283,"Elgato - accessories"
300283,"Pack - accessories"
300290,"Spek SeeThru - accessories"
300290,"Moxie - accessories"
300304,"FCM - accessories"
300306,"Apple - accessories"
300309,"Apple - accessories"
300311,"Trascend - accessories"
300311,"iFixit - accessories"
300314,"Pack - accessories"
300314,"OWC - accessories"
300315,"Apple - accessories"
300315,"TP-Link - accessories"
300317,"Trascend - accessories"
300320,"iFixit - accessories"
300323,"OWC - accessories"
300325,"TP-Link - accessories"
300329,"SanDisk - accessories"
300333,"Western Digital - accessories"
300339,"Apple - accessories"
300346,"Trascend - accessories"
300347,"SanDisk - accessories"
300354,"Belkin - accessories"
300362,"Pebble - smartwhatch"
300364,"SanDisk - accessories"
300365,"Satechi - accessories"
300368,"Moxie - accessories"
300369,"Pack - accessories"
300375,"Replacement - accessories"
300379,"TP-Link - accessories"
300380,"Logitech - accessories"
300385,"SanDisk - accessories"
300385,"SanDisk - accessories"
300390,"Apple - accessories"
300391,"Toshiba - accessories"
300399,"Samsung - accessories"
300400,"Logitech - accessories"
300406,"LaCie - accessories"
300411,"Belkin - accessories"
300412,"Wacom - tablet"
300413,"SanDisk - accessories"
300414,"Lexar - accessories"
300419,"Apple - laptop"
300421,"OWC - accessories"
300430,"Wowewa - accessories"
300435,"Apple - accessories"
300436,"ZaggKeys - accessories"
300439,"Apple - accessories"
300443,"Hyper Pearl - other"
300444,"Hyper Pearl - accessories"
300446,"Otterbox - accessories"
300446,"Belkin - accessories"
300446,"Muvit - accessories"
300452,"Wacom - tablet"
300455,"Seagate - accessories"
300456,"SanDisk - accessories"
300462,"Satechi - accessories"
300463,"Logitech - accessories"
300466,"FCM - accessories"
300467,"TrackR - accessories"
300469,"Apple - accessories"
300475,"Otterbox - accessories"
300476,"Crucial - accessories"
300485,"Seagate - accessories"
300495,"Apple - accessories"
300495,"Apple - accessories"
300495,"Apple - accessories"
300498,"NewerTech - accessories"
300506,"SanDisk - accessories"
300506,"SanDisk - accessories"
300513,"Elgato - accessories"
300528,"Apple - accessories"
300531,"Crucial - accessories"
300532,"Elgato - accessories"
300532,"Elgato - accessories"
300536,"Replacement - accessories"
300540,"ZaggKeys - accessories"
300541,"Bose - accessories"
300541,"Whoosh - accessories"
300544,"TrackR - accessories"
300546,"Wacom - tablet"
300547,"TP-Link - accessories"
300551,"Rain Design - accessories"
300553,"Apple - accessories"
300554,"OWC - accessories"
300565,"Crucial - accessories"
300566,"iFixit - accessories"
300582,"Satechi - accessories"
300582,"ZaggKeys - accessories"
300582,"Apple - accessories"
300582,"Macally - accessories"
300604,"TP-Link - accessories"
300613,"Hyper Pearl - other"
300616,"JBL - accessories"
300626,"iFixit - accessories"
300626,"Apple - accessories"
300626,"iFixit - accessories"
300627,"Pack - accessories"
300650,"OWC - accessories"
300657,"LG - display"
300663,"Wacom - accessories"
300665,"Apple - smartphone"
300671,"Crucial - accessories"
300671,"Samsung - accessories"
300675,"Synology - accessories"
300678,"SanDisk - accessories"
300682,"Logitech - accessories"
300686,"Apple - smartphone"
300693,"Satechi - accessories"
300699,"Moshi - accessories"
300701,"Seagate - accessories"
300704,"Apple - pc"
300711,"Apple - accessories"
300713,"Apple - accessories"
300713,"Otterbox - accessories"
300720,"Elgato - accessories"
300720,"Otterbox - accessories"
300725,"Crucial - accessories"
300728,"Apple - accessories"
300731,"Apple - other"
300736,"Otterbox - accessories"
300737,"NewerTech - accessories"
300737,"Samsung - accessories"
300737,"Western Digital - accessories"
300738,"SanDisk - accessories"
300739,"LaCie - accessories"
300744,"Apple - accessories"
300746,"Crucial - accessories"
300757,"TP-Link - accessories"
300760,"NewerTech - accessories"
300760,"OWC - accessories"
300761,"Apple - accessories"
300764,"Jaybird - accessories"
300773,"TrackR - accessories"
300775,"Wacom - tablet"
300778,"Apple - accessories"
300778,"iFixit - accessories"
300786,"Thule - accessories"
300789,"Sphero - other"
300791,"Logitech - accessories"
300796,"OWC - accessories"
300800,"TP-Link - accessories"
300808,"SanDisk - accessories"
300809,"Sphero - other"
300812,"iFixit - accessories"
300814,"Wacom - tablet"
300819,"Satechi - accessories"
300819,"Satechi - accessories"
300826,"Belkin - accessories"
300826,"Muvit - accessories"
300830,"Pebble - smartwhatch"
300831,"Crucial - accessories"
300835,"Dell - display"
300839,"Toshiba - accessories"
300846,"FCM - accessories"
300846,"Samsung - accessories"
300851,"JBL - accessories"
300860,"Lexar - accessories"
300861,"SanDisk - accessories"
300862,"Crucial - accessories"
300867,"STM - accessories"
300873,"TrackR - accessories"
300876,"Western Digital - accessories"
300877,"Belkin - accessories"
300880,"Elgato - accessories"
300881,"Startech - accessories"
300881,"Seagate - accessories"
300882,"Wacom - tablet"
300883,"Bose - accessories"
300896,"Hyper Pearl - accessories"
300898,"TP-Link - accessories"
300903,"Wacom - tablet"
300904,"Samsung - accessories"
300906,"Startech - accessories"
300916,"Apple - extended warranty"
300918,"Pebble - smartwhatch"
300922,"iFixit - accessories"
300938,"Western Digital - accessories"
300945,"D-Link - camera"
300948,"Belkin - accessories"
300949,"JBL - accessories"
300960,"Logitech - accessories"
300966,"NewerTech - accessories"
300979,"TrackR - accessories"
300980,"Logitech - accessories"
300986,"Wacom - tablet"
300989,"Satechi - accessories"
300989,"Apple - accessories"
300998,"Hyper Pearl - accessories"
300999,"Startech - accessories"
301012,"Western Digital - accessories"
301013,"Crucial - accessories"
301015,"Sphero - other"
301030,"iFixit - accessories"
301058,"Apple - accessories"
301059,"Western Digital - accessories"
301067,"Replacement - accessories"
301074,"Apple - accessories"
301079,"Thule - accessories"
301080,"Adonit - accessories"
301085,"SanDisk - accessories"
301091,"ZaggKeys - accessories"
301092,"OWC - accessories"
301095,"Belkin - accessories"
301097,"Apple - accessories"
301097,"Wacom - accessories"
301102,"Crucial - accessories"
301105,"Crucial - accessories"
301106,"Hyper Pearl - other"
301106,"TrackR - accessories"
301108,"Parrot - accessories"
301111,"Wacom - tablet"
301112,"Kenu Airframe - accessories"
301121,"Apple - accessories"
301140,"iFixit - accessories"
301140,"OWC - accessories"
301145,"iFixit - accessories"
301148,"Thule - accessories"
301152,"Logitech - accessories"
301155,"Logitech - accessories"
301166,"Belkin - accessories"
301169,"SanDisk - accessories"
301173,"Apple - extended warranty"
301179,"Jaybird - accessories"
301181,"iFixit - accessories"
301184,"Elgato - accessories"
301193,"iFixit - accessories"
301198,"Trascend - accessories"
301198,"Western Digital - accessories"
301204,"Apple - accessories"
301207,"Hyper Pearl - accessories"
301208,"SanDisk - accessories"
301211,"Pack - laptop"
301214,"Crucial - accessories"
301223,"Crucial - accessories"
301226,"iFixit - accessories"
301230,"Satechi - accessories"
301230,"SanDisk - accessories"
301234,"Western Digital - accessories"
301239,"Philips - accessories"
301243,"iOttie - accessories"
301247,"Elgato - accessories"
301256,"SanDisk - accessories"
301270,"Western Digital - accessories"
301276,"Elgato - accessories"
301276,"Crucial - accessories"
301280,"Crucial - accessories"
301292,"Logitech - accessories"
301297,"Bose - accessories"
301300,"Startech - accessories"
301306,"Pack - accessories"
301307,"iFixit - accessories"
301309,"SanDisk - accessories"
301320,"OWC - accessories"
301321,"Apple - accessories"
301322,"Apple - extended warranty"
301325,"Crucial - accessories"
301327,"Apple - accessories"
301334,"Hyper Pearl - accessories"
301335,"Jawbone - display"
301344,"Netatmo - other"
301344,"Philips - accessories"
301352,"Western Digital - accessories"
301359,"Wacom - tablet"
301360,"Western Digital - accessories"
301367,"LMP - accessories"
301371,"JBL - accessories"
301374,"Satechi - accessories"
301375,"Seagate - accessories"
301376,"NewerTech - accessories"
301379,"Lexar - accessories"
301396,"LG - display"
301404,"Wacom - tablet"
301405,"Apple - accessories"
301406,"Pack - laptop"
301409,"SanDisk - accessories"
301412,"LG - display"
301414,"Pack - accessories"
301420,"Toshiba - accessories"
301422,"FCM - accessories"
301430,"Crucial - accessories"
301430,"OWC - accessories"
301433,"Logitech - accessories"
301440,"Bose - accessories"
301451,"SanDisk - accessories"
301451,"SanDisk - accessories"
301452,"Lexar - accessories"
301456,"SanDisk - accessories"
301457,"Belkin - accessories"
301463,"Satechi - accessories"
301467,"Lexar - accessories"
301480,"Crucial - accessories"
301490,"Apple - accessories"
301491,"Seagate - accessories"
301495,"Tucano - accessories"
301496,"Startech - accessories"
301498,"Belkin - accessories"
301499,"iFixit - accessories"
301501,"Pack - accessories"
301504,"Apple - extended warranty"
301512,"Apple - accessories"
301513,"Elgato - accessories"
301528,"Pack - accessories"
301531,"Western Digital - accessories"
301533,"TrackR - accessories"
301537,"Hyper Pearl - other"
301543,"Pack - laptop"
301544,"Kingston - accessories"
301547,"Western Digital - accessories"
301550,"Wacom - tablet"
301557,"Samsung - accessories"
301559,"Logitech - accessories"
301560,"iFixit - accessories"
301562,"SanDisk - accessories"
301563,"Moxie - accessories"
301566,"Hyper Pearl - other"
301571,"Western Digital - accessories"
301576,"Tucano - accessories"
301584,"Apple - accessories"
301584,"Kanex - accessories"
301587,"Replacement - accessories"
301587,"Moxie - accessories"
301587,"Wowewa - accessories"
301589,"Trascend - accessories"
301597,"TrackR - accessories"
301601,"Toshiba - accessories"
301607,"Kanex - accessories"
301607,"Apple - accessories"
301612,"Logitech - accessories"
301619,"Wowewa - accessories"
301622,"Startech - accessories"
301628,"Samsung - accessories"
301628,"OWC - accessories"
301628,"Macally - accessories"
301634,"Hyper Pearl - other"
301635,"Moxie - accessories"
301636,"Apple - accessories"
301646,"Crucial - accessories"
301646,"Macally - accessories"
301651,"JBL - accessories"
301652,"Belkin - accessories"
301654,"SanDisk - accessories"
301662,"Belkin - accessories"
301669,"Crucial - accessories"
301675,"iFixit - accessories"
301678,"Wacom - tablet"
301681,"OWC - accessories"
301685,"Elgato - accessories"
301686,"Logitech - accessories"
301689,"Wacom - tablet"
301690,"Crucial - accessories"
301695,"Apple - extended warranty"
301707,"Lexar - accessories"
301709,"Tucano - accessories"
301711,"LaCie - accessories"
301717,"Wacom - tablet"
301719,"Samsung - display"
301726,"Crucial - accessories"
301728,"Apple - accessories"
301733,"ZaggKeys - accessories"
301734,"Logitech - accessories"
301736,"Western Digital - accessories"
301738,"Apple - extended warranty"
301744,"iFixit - accessories"
301749,"Wacom - accessories"
301750,"Logitech - accessories"
301753,"LMP - accessories"
301756,"LaCie - accessories"
301762,"JBL - accessories"
301767,"Crucial - accessories"
301775,"Logitech - accessories"
301789,"Apple - accessories"
301789,"Apple - accessories"
301796,"Wacom - accessories"
301799,"Wacom - tablet"
301806,"Belkin - accessories"
301812,"Western Digital - accessories"
301813,"Western Digital - accessories"
301814,"LaCie - accessories"
301830,"Crucial - accessories"
301840,"Apple - accessories"
301842,"Hyper Pearl - accessories"
301857,"FCM - accessories"
301878,"Lifeproof - accessories"
301890,"TP-Link - accessories"
301905,"Kingston - accessories"
301919,"Pack - accessories"
301923,"Toshiba - accessories"
301925,"NewerTech - accessories"
301930,"Western Digital - accessories"
301932,"OWC - accessories"
301936,"Dell - display"
301944,"Apple - smartphone"
301945,"SanDisk - accessories"
301946,"ZaggKeys - accessories"
301952,"Seagate - accessories"
301967,"NewerTech - accessories"
301975,"OWC - accessories"
301975,"Crucial - accessories"
301975,"Samsung - accessories"
301977,"Adonit - accessories"
302001,"Seagate - accessories"
302002,"iFixit - accessories"
302004,"Wacom - tablet"
302009,"Seagate - accessories"
302010,"Crucial - accessories"
302015,"Wacom - tablet"
302026,"Apple - other"
302030,"Tucano - accessories"
302032,"Apple - smartphone"
302037,"ZaggKeys - accessories"
302042,"Belkin - accessories"
302044,"Trascend - accessories"
302054,"LG - display"
302060,"Apple - accessories"
302061,"Apple - accessories"
302062,"Jawbone - display"
302066,"Blue Microphones - accessories"
302072,"Wacom - tablet"
302073,"Apple - smartphone"
302085,"JBL - accessories"
302086,"D-Link - camera"
302088,"TrackR - accessories"
302097,"Apple - accessories"
302106,"Pack - accessories"
302114,"Jaybird - accessories"
302117,"Belkin - accessories"
